"","District","Year","0...04 yrs","05...09 yrs","10...14 yrs","15...19 yrs","20...24 yrs","25...49 yrs","50...64 yrs","65+ yrs","Province"
"1","Hambantota",2017,55486,55606,52167,52287,48697,230270,101678,50809,"Southern"
"2","Colombo",2017,207449,207900,195041,195492,182068,860931,380154,189964,"Western"
"3","Matale",2017,44080,44176,41443,41539,38687,182935,80777,40364,"Central"
"4","Gampaha",2017,205048,205494,192783,193229,179961,850966,375754,187766,"Western"
"5","Nuwara Eliya",2017,64833,64974,60955,61096,56901,269063,118808,59369,"Central"
"6","Jaffna",2017,52141,52254,49022,49136,45762,216389,95549,47746,"Northen"
"7","Mullaitivu",2017,8233,8251,7740,7758,7226,34167,15087,7539,"Northen"
"8","Kurunegala",2017,145274,145590,136585,136901,127500,602901,266218,133030,"North_Western"
"9","Badulla",2017,74095,74256,69663,69824,65030,307501,135781,67850,"Uva"
"10","Vavuniya",2017,15780,15814,14836,14870,13849,65486,28916,14450,"Northen"
"11","Kandy",2017,124521,124792,117073,117344,109286,516772,228187,114026,"Central"
"12","Matara",2017,72980,73139,68615,68774,64051,302874,133738,66829,"Southern"
"13","Mannar",2017,9176,9196,8627,8647,8053,38082,16815,8403,"Northen"
"14","Kaluthara",2017,108999,109236,102479,102716,95663,452354,199742,99812,"Western"
"15","Galle",2017,95449,95657,89740,89947,83771,396121,174912,87404,"Southern"
"16","Kilinochchi",2017,10634,10657,9998,10021,9333,44132,19487,9738,"Northen"
"17","Batticaloa",2017,48025,48129,45152,45256,42149,199306,88006,43977,"Eastern"
"18","Puttalam",2017,69807,69959,65632,65784,61266,289706,127923,63924,"North_Western"
"19","Moneragala",2017,41593,41683,39105,39195,36504,172613,76219,38087,"Uva"
"20","Trincomalee",2017,35332,35409,33219,33296,31010,146632,64747,32354,"Eastern"
"21","Polonnaruwa",2017,36962,37042,34751,34831,32440,153395,67733,33846,"North_Central"
"22","Kegalle",2017,75210,75374,70711,70875,66008,312128,137824,68871,"Sabaragamuwa"
"23","Ampara",2017,60460,60591,56843,56975,53062,250912,110793,55364,"Eastern"
"24","Anuradhapura",2017,78726,78897,74017,74188,69094,326720,144267,72091,"North_Central"
